Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1955,20,PIT,NL,124,501,474,48,121,23,11,5,47,2,5,18,60,.255,.284,.382,.666,77,181,14,2,4,3,3,*9H8,
1956,21,PIT,NL,147,572,543,66,169,30,7,7,60,6,6,13,58,.311,.330,.431,.761,106,234,14,4,8,4,2,*978H/45,
1957,22,PIT,NL,111,475,451,42,114,17,7,4,30,0,4,23,45,.253,.288,.348,.637,73,157,13,0,0,1,1,*98/H,
1958,23,PIT,NL,140,556,519,69,150,24,10,6,50,8,2,31,41,.289,.327,.408,.736,96,212,15,0,3,3,1,*9/H,
1959,24,PIT,NL,105,456,432,60,128,17,7,4,50,2,3,15,51,.296,.322,.396,.718,92,171,10,3,3,3,2,*9/H,
1960,25,PIT,NL,144,620,570,89,179,22,6,16,94,4,5,39,72,.314,.357,.458,.815,121,261,21,2,4,5,4,*9/H,ASASMVP-8
1961,26,PIT,NL,146,614,572,100,201,30,10,23,89,4,1,35,59,.351,.390,.559,.949,150,320,18,3,1,3,10,*9/H8,ASASMVP-4GG
1962,27,PIT,NL,144,581,538,95,168,28,9,10,74,6,4,35,73,.312,.352,.454,.805,114,244,18,1,1,6,9,*9/H,ASASMVP-17GG
1963,28,PIT,NL,152,642,600,77,192,23,8,17,76,12,2,31,64,.320,.356,.470,.826,136,282,24,4,4,3,6,*9/8H,ASMVP-14GG
1964,29,PIT,NL,155,683,622,95,211,40,7,12,87,5,2,51,87,.339,.388,.484,.872,146,301,9,2,3,5,16,*9/H,ASMVP-9GG
1965,30,PIT,NL,152,642,589,91,194,21,14,10,65,8,0,43,78,.329,.378,.463,.842,136,273,17,5,2,3,14,*9/H8,ASMVP-8GG
1966,31,PIT,NL,154,690,638,105,202,31,11,29,119,7,5,46,109,.317,.360,.536,.896,146,342,14,0,1,5,13,*9/8H,ASMVP-1GG
1967,32,PIT,NL,147,632,585,103,209,26,10,23,110,9,1,41,103,.357,.400,.554,.954,171,324,15,3,0,3,17,*9/H8,ASMVP-3GG
1968,33,PIT,NL,132,557,502,74,146,18,12,18,57,2,3,51,77,.291,.355,.482,.838,152,242,13,1,0,3,27,*9/H,GG
1969,34,PIT,NL,138,570,507,87,175,20,12,19,91,4,1,56,73,.345,.411,.544,.955,168,276,19,3,0,4,16,*9/H,ASMVP-8GG
1970,35,PIT,NL,108,455,412,65,145,22,10,14,60,3,0,38,66,.352,.407,.556,.963,160,229,7,2,1,2,14,9/H,ASMVP-12GG
1971,36,PIT,NL,132,553,522,82,178,29,8,13,86,1,2,26,65,.341,.370,.502,.871,143,262,19,0,1,4,5,*9H,ASMVP-5GG
1972,37,PIT,NL,102,413,378,68,118,19,7,10,60,0,0,29,49,.312,.356,.479,.835,138,181,15,0,0,6,7,9H,ASMVP-13GG
18 Yrs,18 Yrs,18 Yrs,18 Yrs,2433,10212,9454,1416,3000,440,166,240,1305,83,46,621,1230,.317,.359,.475,.834,130,4492,275,35,36,66,167,,
