trading.day,number.of.shares.sold,stock.price
1,2000,59.5
1,100,61
1,2000,52
1,100,57
1,1000,52
1,2000,63
1,100,53.5
1,200,55.5
1,500,57
1,100,62
1,500,54.5
1,200,64
1,500,60.5
1,100,59
1,100,63.5
1,1000,55.5
1,500,63.5
1,100,54.5
1,2000,64
1,500,57.5
1,100,57.5
1,2000,54
1,2000,63.5
1,200,54.5
1,200,55.5
1,500,52.5
1,1000,59
1,500,64.5
1,100,54
1,100,59
1,2000,52
1,100,56
1,200,52
1,1000,57
1,2000,54
1,2000,56.5
1,1000,63.5
1,200,58.5
1,2000,53.5
1,2000,59
1,200,58.5
1,1000,56
1,1000,51
1,1000,52.5
1,1000,64
1,100,53
1,200,63.5
1,200,63
1,500,61.5
1,2000,50.5
2,500,64.5
2,2000,63.5
2,2000,68.5
2,100,61.5
2,2000,63.5
2,100,58.5
2,200,68
2,100,62.5
2,2000,64.5
2,1000,57.5
2,100,67
2,100,56.5
2,2000,58.5
2,500,61
2,100,68
2,200,58
2,2000,57.5
2,500,57.5
2,100,61
2,1000,60.5
2,100,63.5
2,200,54.5
2,100,61
2,1000,59.5
2,1000,63.5
2,100,56
2,1000,58.5
2,100,68.5
2,2000,54.5
2,1000,62.5
2,500,58
2,2000,63.5
2,1000,63
2,2000,55.5
2,2000,59.5
2,100,67.5
2,2000,55
2,200,55.5
2,500,66
2,500,58
2,100,62
2,100,66
2,500,67.5
2,2000,60
2,500,56
2,500,65.5
2,100,62.5
2,1000,67
2,200,62.5
2,200,62
3,2000,60
3,1000,57.5
3,500,50
3,100,49
3,100,58.5
3,500,51.5
3,2000,55
3,1000,48.5
3,1000,61
3,200,61
3,2000,60
3,100,57.5
3,2000,51.5
3,1000,60
3,2000,54.5
3,500,50
3,200,58.5
3,100,59
3,500,54
3,2000,56
3,100,51
3,1000,51
3,200,55.5
3,200,54.5
3,1000,57
3,2000,59.5
3,200,56
3,1000,51.5
3,2000,59.5
3,1000,60
3,500,56
3,2000,53.5
3,500,62
3,2000,48.5
3,200,62
3,200,60
3,500,50
3,2000,49.5
3,200,57.5
3,1000,53.5
3,500,48.5
3,200,52.5
3,200,59
3,2000,54
3,1000,55.5
3,1000,57
3,500,48.5
3,500,60
3,500,51.5
3,100,52
4,100,61
4,500,61.5
4,2000,60.5
4,500,56.5
4,200,56.5
4,1000,57
4,500,63.5
4,500,66.5
4,500,58.5
4,200,60
4,200,57.5
4,1000,54.5
4,100,64.5
4,1000,57
4,200,66.5
4,500,56
4,100,64
4,100,55.5
4,100,65
4,1000,59
4,2000,67
4,200,54.5
4,200,53.5
4,500,66.5
4,200,59.5
4,500,60
4,2000,58.5
4,500,55.5
4,1000,54
4,500,66
4,2000,56.5
4,2000,61
4,1000,67.5
4,2000,62
4,200,64.5
