SID,Check Score
1255442545,7
4121155545,7
5534211241,5
3214133112,3
3433121535,8
3242255225,2
5224513212,3
4555512333,4
1132222453,5
5135414541,8
4335451424,8
1251311254,8
3514135424,4
3142443321,7
5251454415,6
2423354543,0
1215244225,4
5321555331,1
5524242423,7
2311421441,6
1343113545,3
5223333322,8
3135513553,4
3254343142,8
1312542131,7
3521125332,7
1341251144,8
4344312252,7
5151114524,2
1441144513,7
2444555424,0
4353152313,5
3411553325,0
2211231232,8
1135135541,6
2111522235,4
1222335412,6
1521413523,8
1554414434,4
4153144544,0
2134455533,6
1511254455,5
2533225435,6
4415434115,5
4131345341,0
3142323241,6
3513332235,8
2435335551,0
4124224311,4
3352121545,4
2231345533,0
3322213435,2
4242332352,0
2522232153,8
4345225341,8
2343243123,8
3323311533,7
2114524112,0
2243411541,4
1131424522,0
1445421111,3
1425241222,7
4134522521,0
5122434242,7
3353255451,4
5314333452,7
3511433514,0
3243254312,6
5152531251,8
3444133143,2
3355413424,7
2133522235,6
2111532443,7
3251253232,7
2234454341,0
2245321334,2
1243534134,2
2534245455,7
4152155442,6
4553223121,1
3212231242,0
2424223555,4
3224112511,7
5345524211,7
3411234154,6
4451221312,8
5532124354,4
2123142412,8
5323422515,8
2113435413,8
4112444424,8
5412525542,8
1142232245,5
2115435313,2
5344115124,6
1344454314,6
5424223131,0
2521344514,0
5423113535,6
3552452411,5
